4830,ActorID,Name,Date of Birth,Birth City,Birth Country,Height (Inches),Biography,Gender,Ethnicity,NetWorth
5663,833.0,Andrew Kevin Walker,8/14/1964,Altoona,USA,,"Andrew Kevin Walker was born on August 14, 1964 in Altoona, Pennsylvania, USA. He is a writer and actor, known for Se7en (1995), Sleepy Hollow (1999) and 8MM (1999).",,,
5664,834.0,Daniel Zacapa,7/19/1951,Tegucigalpa,Honduras,,"Honduran-born Daniel Zacapa has established himself as one of the most effective character actors working. His varied and diverse film roles include Se7en (1995), Confessions of a Dangerous Mind (2002), 'The Mexican', 'The Gene Generation', and 'Phenomenon', sharing the screen with such actors as 'Jack Lemmon', Walter Matthau, Morgan Freeman, Brad...",,,
5665,835.0,Gwyneth Paltrow,9/27/1972,Los Angeles,USA,69.0,"A tall, wafer thin, delicate beauty, Gwyneth Kate Paltrow was born in Los Angeles, the daughter of noted producer and director Bruce Paltrow and Tony Award-winning actress Blythe Danner. Her father was from a Jewish family, while her mother is of mostly German descent. When Gwyneth was eleven, the family moved to Massachusetts, where her father ...",,,
5666,836.0,John Cassini,0-9-2,Toronto,Canada,69.0,John was born and raised in downtown Toronto to Italian parents who made the long journey to Canada to start a new life. He first caught the acting/filmmaking bug in Grade 8. It was then that Aiko Suzuki (sister of David Suzuki) came to his class and taught a course in super 8 filmmaking. John played his first leading role as a blind boy in a film...,,,
5667,837.0,Bob Mack,,,,,"Bob Mack is known for his work on Se7en (1995), Austin Powers: The Spy Who Shagged Me (1999) and The Haunted Sea (1997).",,,
5668,838.0,Peter Crombie,,,,74.0,"Peter Crombie is an actor and writer, known for Se7en (1995), My Dog Skip (2000) and Rising Sun (1993).",,,
5669,839.0,Reg E. Cathey,8/18/1958,Huntsville,USA,72.0,"Born into a military family in Huntsville, Alabama -- his father was an army vet who had served in World War II, Korea and Vietnam, while his mother held a somewhat mysterious job in the Department of Defence -- Reg E. Cathey spent much of his early childhood living on a rural farmhouse in Germany. There, he watched American TV shows dubbed into ...",,,
5670,840.0,Chauncey Leopardi,6/14/1981,,,67.0,"Chauncey Leopardi was born on June 14, 1981. He is an actor, known for The Sandlot (1993), Father of the Bride (1991) and Casper (1995). He is married to Ellona Vi. They have two children. He was previously married to Stefani Sells.",,,
5671,841.0,Spencer Vrooman,1981-12-0,,,,"Spencer Vrooman was born in December 1981. He is an actor and director, known for Casper (1995), Man of the House (1995) and This Is Not a Robbery (2008).",,,
5672,842.0,Malachi Pearson,6/12/1981,San Luis Obispo County,USA,,"Malachi Pearson was born on June 12, 1981 in San Luis Obispo County, California, USA as MalachiKennethPearson. He is an actor, known for Casper (1995), Family Matters (1989) and Hard Time on Planet Earth (1989).",,,
5673,843.0,Eric Idle,3/29/1943,South Shields,UK,73.0,"Eric Idle is an English comedian, actor, author, singer, playwright, director, and songwriter. Co-creator of Monty Python on TV, stage, and five films, including The Life of Brian and The Holy Grail, which he later adapted for the stage with John Du Prez as Monty Python's Spamalot, winning the Tony Award for Best Musical in 2005, a Grammy, a Drama...",,,
5674,844.0,Ben Stein,11/25/1944,Washington,USA,61.0,"Ben Stein (Benjamin J. Stein) was born on Nov. 25, 1944 in Washington, D.C. The son of noted economist and writer Herbert Stein, he grew up in Silver Spring, Md., and attended Montgomery Blair High School. Some of his classmates included journalist Carl Bernstein, and actors Goldie Hawn and Sylvester Stallone. He graduated from Columbia University...",,,
5675,845.0,Don Novello,1/1/1943,Lorain,USA,,"Don Novello was born on January 1, 1943 in Lorain, Ohio, USA. He is an actor and writer, known for Atlantis: The Lost Empire (2001), The Godfather: Part III (1990) and Casper (1995).",,,
5676,846.0,Fred Rogers,3/20/1928,Latrobe,USA,72.0,"Fred Rogers was the host of the popular long-running public television children's show Mister Rogers' Neighborhood. The show debuted in Pittsburgh in 1967 and was picked up by PBS the next year, becoming a staple of public TV stations around the United States. Rogers' mild manner, cardigan sweaters and soft speaking voice made him both widely ...",,,
5677,847.0,Terry Murphy,1948-0-0,,,,"Terry Murphy was born in 1948. She is an actress and writer, known for Casper (1995), Married... with Children (1987) and Best Actress (2000).",,,
5678,848.0,Dylan Walsh,11/17/1963,Los Angeles,USA,61.0,"Dylan Walsh was born on November 17, 1963 in Los Angeles, California, USA as Charles Hunter Walsh. He is known for his work on Congo (1995), The Stepfather (2009) and Nip/Tuck (2003). He was previously married to Joanna Going and Melora Walters.",,,
5679,849.0,Lola Noh,6/30/1972,Los Angeles County,USA,49.0,"Lola Noh was born on June 30, 1972 in Los Angeles County, California, USA as Lorene Won Noh. She is a producer and actress, known for Congo (1995), House (2004) and On the Line with Sandy and Hannah (2011).",,,
5680,850.0,Mary Ellen Trainor,7/8/1952,Chicago,USA,67.0,"Mary Ellen Trainor was born in Chicago, Illinois. She appeared in many feature-films of the 1980s, notable characters include, Elaine, the kidnapped sister of Kathleen Turner and the catalyst for the entire plot in Romancing the Stone (1984), Dr. Stephanie Woods (LA Police Psychiatrist) in in all four Lethal Weapon (1987) films, Mrs. Walsh Mikey ...",,,
5681,851.0,Misty Rosas,8/14/1973,Mission Viejo,USA,57.0,"Misty Rosas is a dynamic and incredibly versatile artist. She is a native Californian, born in Mission Viejo, and raised in the mountains of the Cleveland National Forest. Always wild at heart, this tiny dynamo has been performing on a stage since she was 6 years old. She is more than a triple threat! Her career has included acting, dancing, ...",,,
5682,852.0,Gary Sinise,3/17/1955,Blue Island,USA,68.0,"Gary Alan Sinise was born in Blue Island, Illinois, to Mylles S. (Alsip) and Robert L. Sinise, A.C.E., a film editor. He is of Italian (from his paternal grandfather), English, Scottish, Irish, French, German, and Swedish ancestry. His family moved to Highland Park, where he attended high school. He was something of a rebel, playing in bands but ...",,,
5683,853.0,Kathleen Quinlan,11/19/1954,Pasadena,USA,65.0,"Kathleen Quinlan was born in Pasadena, California, the only child of Josephine (Zachry), a military supply supervisor, and Robert Quinlan, a television sports director. She grew up in Mill Valley, Ca, and got her break in acting when George Lucas came to her high school to cast for his movie American Graffiti (1973). She followed up her one-line ...",,,
5684,854.0,Mary Kate Schellhardt,11/1/1978,,,,"Mary Kate Schellhardt grew up in an artistic family. Always in acting class, Mary Kate studied in Chicago at the Piven Theatre Workshop where she developed through the Viola Spolin techniques in theatre games. At the age of 13, she was discovered by casting director Gail Levin, during a nationwide search for the role of ""Ellen Grape"" in Lasse ...",,,
5685,855.0,Emily Ann Lloyd,3/27/1984,Glendale,USA,67.0,"Emily Ann Lloyd began her acting career, at age 2, in a commercial for Olympus cameras. Many commercials followed and, by age 6, she had two feature films under her belt, including Kindergarten Cop (1990), with Arnold Schwarzenegger. Guest star roles on Evening Shade (1990) and the short-lived series, Princesses (1991), followed by a regular role ...",,,
5686,856.0,Miko Hughes,2/22/1986,Apple Valley,USA,64.0,Miko started his acting career in a public service announcement when he was 22 months old and followed that up by appearing in his first feature film at 27 months old. Since that early start Miko has consistently been one of the busiest young actors in Hollywood. Miko is best known on film for his dramatic portrayal of an autistic boy opposite ...,,,
5687,857.0,Matt Craven,11/10/1956,Port Colborne,Canada,61.0,"Canadian-born actor Matt Craven is among the most sought after character actors of film and television today, starring in such blockbuster critically acclaimed films as the Academy-Award-nominated ""Crimson Tide"" and ""A Few Good Men"" and SAG Award nominated ""X-Men: First Class."" Craven has starred opposite great Hollywood actors such as Denzel ...",,,
5688,858.0,Viggo Mortensen,10/20/1958,Manhattan,USA,61.0,"Since his screen debut as a young Amish farmer in Peter Weir's Witness (1985), Viggo Mortensen's career has been marked by a steady string of well-rounded performances. Mortensen was born in New York City, to Grace Gamble (Atkinson) and Viggo Peter Mortensen, Sr. His father was Danish, his mother was American, and his maternal grandfather was ...",,,
5689,859.0,Rocky Carroll,7/8/1963,Cincinnati,USA,61.0,"A classically-trained actor with a deeply-rooted seed in theatre, Rocky Carroll has solidified his career in cinema, stage and television with varied and impressive performances. Born in Cincinnati, Ohio, as Roscoe Carroll, he attended the prestigious School for Creative and Performing Arts, graduating in 1981 at age 18. Pursuing an interest to ...",,,
5690,860.0,Jaime Gomez,8/31/1965,Los Angeles,USA,,"Jaime Gomez was born and raised in the Southern California sunshine. College was for the studying of art history and literature as well the history of the world and his personal favorite, philosophy. Jaime has had a successful acting career spanning 20 years. He's best known for his role in the hit CBS series Nash Bridges playing young super cop ...",,,
5691,861.0,Michael Milhoan,12/19/1957,Saint Petersburg,USA,75.0,"Michael was born and raised in St. Petersburg, Florida. He spent most of his youth studying jazz music and attended North Texas State University on a scholarship. He played lead trumpet with Stan Kenton's 1979 Tour and appeared with Woody Herman and his Thundering Heard. After a car accident left him unable to play, Michael re-directed his ...",,,
5692,862.0,Christian Bale,1/30/1974,Haverfordwest,UK,72.0,"Christian Charles Philip Bale was born in Pembrokeshire, Wales, UK on January 30, 1974, to English parents Jennifer ""Jenny"" (James) and David Bale. His mother was a circus performer and his father, who was born in South Africa, was a commercial pilot. The family lived in different countries throughout Bale's childhood, including England, Portugal,...",,,
5693,863.0,Irene Bedard,7/22/1967,Anchorage,USA,60.0,"Irene Bedard (born July 22, 1967) is a Native American actress who has played many Native American characters in a variety of films. She is perhaps best known for her voice role as the title character in the 1995 animated film Pocahontas. In 2012, she started ""Sleeping Lady Films"" and ""Waking Giants Productions"" with Canadian businessman Thom ...",,,
5694,864.0,James Apaumut Fall,,Berwyn,USA,,"James Fall was born and raised in the Chicago suburb of Berwyn, Illinois. He has been appearing in several stage productions since he was nine years old. Fall performed as a soloist in the Illinois State Gifted Children's Program shortly thereafter. After his eighteenth birthday, Fall moved to New York City, New York to study at the American ...",,,
5695,865.0,John Kassir,10/24/1957,Baltimore,USA,68.0,"John Kassir was born on October 24, 1957 in Baltimore, Maryland, USA as John Edward Kassir. He is an actor, known for Tales from the Crypt (1989), Pete's Dragon (2016) and The Three Stooges (2000). He was previously married to Julie Benz.",,,
5696,866.0,Judy Kuhn,5/20/1958,New York City,USA,,"Judy Kuhn was born on May 20, 1958 in New York City, New York, USA. She is an actress, known for Enchanted (2007), Pocahontas (1995) and Day on Fire (2006). She is married to David. They have one child.",,,
5697,867.0,Izabella Scorupco,6/4/1970,Bialystok,Poland,69.0,"Born in the northern Polish town of Bialystok, Izabella Scorupco moved to Sweden with her mother as a young child. She studied drama and music and, at 17, was discovered by a Swedish film director who cast her in the movie Ingen kan �lska som vi (1988), which made her a local teen idol. She then became a successful model in Sweden and ...",,,
5698,868.0,Famke Janssen,11/5/1964,Amstelveen,Netherlands,61.0,"Famke Janssen was born November 5, 1965, in Amsterdam, the Netherlands, and has two other siblings. Moving to America in the 1980s, she modeled for Chanel in New York. Later, taking a break from modeling, she attended Columbia University, majoring in literature. This model-turned-actress broke into Hollywood in the early 1990s. Her first film was ...",,,
5699,869.0,Judi Dench,12/9/1934,York,UK,61.0,"Dame Judi Dench was born Judith Olivia Dench in York, England, to Eleanora Olive (Jones), who was from Dublin, Ireland, and Reginald Arthur Dench, a doctor from Dorset, England. She attended Mount School in York, and studied at the Central School of Speech and Drama. She has performed with the Royal Shakespeare Company, the National Theatre, and ...",,,
5700,870.0,Robbie Coltrane,3/30/1950,Rutherglen,UK,73.0,"Robbie Coltrane, one of Britain's most popular comedians who was head of debating society at school and won prizes for his art, is now a film star who played in two James Bond films and in the ""Harry Potter"" franchise. Coltrane was born Anthony Robert McMillan on March 30, 1950, in Rutherglen, a suburb of Glasgow, Scotland, UK. His mother, Jean ...",,,
5701,871.0,Tcheky Karyo,10/4/1953,Istanbul,Turkey,61.0,"Born in Istanbul, Turkey, Tcheky Karyo grew up in Paris. He studied drama at the Cyrano Theatre and became a member of the Daniel Sorano Company, where he played numerous classical roles. He next joined the National Theatre of Strasbourg, where he starred in contemporary theatre as well as in such classical works as ""Tartuffe"", ""Macbeth"" and ""...",,,
5702,872.0,Gottfried John,8/29/1942,Berlin,Germany,75.0,"Gottfried John was born on August 29, 1942 in Berlin, Germany. He was an actor, known for Asterix and Obelix vs. Caesar (1999), GoldenEye (1995) and Proof of Life (2000). He was married to Brigitte. He died on September 1, 2014 in Utting am Ammersee, Bavaria, Germany.",,,
5703,873.0,Jonathan Hyde,5/21/1948,Brisbane,Australia,61.0,"Jonathan Hyde was born on May 21, 1948 in Brisbane, Australia. He is an actor, known for Titanic (1997), Anaconda (1997) and Jumanji (1995). He is married to Isobel Buchanan. They have two children.",,,
5704,874.0,Kirsten Dunst,4/30/1982,Point Pleasant,USA,67.0,"Kirsten Caroline Dunst is an American actress, who also holds German citizenship. She was born on April 30, 1982 in Point Pleasant, New Jersey, to parents Inez (n�e Rupprecht), who owned an art gallery, and Klaus Dunst, a medical services executive. She has a younger brother named Christian Dunst, born in 1987. Her father is German, from Hamburg, ...",,,
5705,875.0,Bonnie Hunt,9/22/1961,Chicago,USA,68.0,"Bonnie Hunt was born on September 22, 1961 in Chicago, Illinois, USA as Bonnie Lynn Hunt. She is a producer and writer, known for Jumanji (1995), The Green Mile (1999) and Return to Me (2000). She was previously married to John Murphy.",,,
5706,876.0,Bebe Neuwirth,12/31/1958,Princeton,USA,64.0,"Beatrice ""Bebe"" Neuwirth is the daughter of Sydney Anne, an artist, and Lee Paul Neuwirth, a mathematician. Born and raised in Princeton, New Jersey, she started out as a dancer. Her New York career started out in ""A Chorus Line"". She won a Tony Award for her part in ""Sweet Charity"" and two Emmy Awards for Outstanding Supporting Actress in a ...",,,
5707,877.0,Patricia Clarkson,12/29/1959,New Orleans,USA,65.0,"This remarkable, one-of-a-kind actress has, since the early 1990s, intrigued film and TV audiences with her glowing, yet careworn eccentricity and old world-styled glamour. Very much in demand these days as a character player, Patricia Clarkson nevertheless continues to avoid the temptation of money-making mainstream filming while reaping kudos ...",,,
5708,878.0,Adam Hann-Byrd,2/23/1982,New York City,USA,,"Adam Hann-Byrd was born on February 23, 1982 in New York City, New York, USA. He is an actor and writer, best known for his work on Jumanji (1995), The Ice Storm (1997), Halloween H20: 20 Years Later (1998), and as the title character in Jodie Foster's directorial debut, Little Man Tate (1991).",,,
5709,879.0,James Robinson,9/6/1983,Glasgow,UK,73.0,"James Robinson is a Scottish actor. He was born in Glasgow, Scotland, to a florist and a firefighter. James has one sister, who is a nurse. James had his first success on screen when he was 10-years-old. He garnered much acclaim for his performance as the young William Wallace in Mel Gibson's 5 Oscar� winning blockbuster, Braveheart (1995). Briefly...",,,
5710,880.0,Sean Lawlor,1/25/1954,Dublin,Ireland,,"Sean Lawlor was born on January 25, 1954 in Dublin, Ireland. He was an actor, known for Braveheart (1995), In the Name of the Father (1993) and Mega Shark vs. Giant Octopus (2009). He died on October 10, 2009 in Dublin.",,,
5711,881.0,Sandy Nelson,12/2/1970,Glasgow,UK,65.0,"Sandy Nelson was born on December 2, 1970 in Glasgow, Scotland as Alexander McDonald Nelson. He is an actor and composer, known for Braveheart (1995), Atletico Partick (1995) and Dancer (2003).",,,
5712,882.0,James Cosmo,10/27/1947,Clydebank,UK,74.0,"James Cosmo was born on October 27, 1947 in Clydebank, Dunbartonshire, Scotland as James Ronald Gordon Copeland. He is an actor, known for Braveheart (1995), Highlander (1986) and Troy (2004). He has been married to Annie Harris since May 24, 2000.",,,
5713,883.0,Sean McGinley,1956-0-0,Gaoth Dobhair,Ireland,61.0,"Sean McGinley was born in 1956 in Gaoth Dobhair, Donegal, Ireland. He is an actor and writer, known for On a Clear Day (2005), Braveheart (1995) and Michael Collins (1996). He has been married to Marie Mullen since 1990. They have two children.",,,
5714,884.0,Alan Tall,,,,,"Alan Tall is an actor, known for Braveheart (1995), Gunfight at the Joe Kaye Corral (1983) and The Gift (1991).",,,
5715,885.0,Andrew Weir,12/26/1980,Ayr,UK,,"Away from the stage and silver screen this versatile actor is a keen follower of Ayr Utd FC and the Scotland National Team. He is also one of the founders of the highly successful company ""3rd Degrees Burns"" His work in this field has been appreciated by audience worldwide and various festivals and events. In all Andrew Weir is a true champion of ...",,,
5716,886.0,Gerda Stevenson,,Peeblesshire,UK,65.0,"Gerda Stevenson was born in Peeblesshire, Scotland. She is an actress, known for Braveheart (1995), Blue Black Permanent (1992) and Square Mile of Murder (1980).",,,
5717,887.0,Ralph Riach,1939-0-0,Elgin,UK,,"Ralph Riach was born in 1939 in Elgin, Scotland. He is an actor, known for Cloud Atlas (2012), Braveheart (1995) and The Messenger: The Story of Joan of Arc (1999).",,,
5718,888.0,Drew Barrymore,2/22/1975,Culver City,USA,64.0,"Since melting audiences' hearts - at the age of six - in Steven Spielberg's beloved sci-fi blockbuster, E.T. the Extra-Terrestrial (1982), Drew Barrymore has emerged as one of the most endearing and talented actresses of her generation. Drew Blyth Barrymore was born in Culver City, California, to actors John Drew Barrymore and Jaid Barrymore (n�e ...",,,
5719,889.0,Debi Mazar,8/13/1964,Queens,USA,65.0,"Deborah Anne Mazar Corcos (born August 13, 1964) is an American actress and television personality, known for playing sharp-tongued women. She began her career with supporting roles in Goodfellas (1990), Little Man Tate (1991) and Singles (1992), followed by lead roles on the legal drama series Civil Wars and L.A. Law. Beginning in 2014, she has ...",,,
5720,890.0,Chaim Jeraffi,,,,,,Male,Israeli,
5721,891.0,Rick Aviles,10/14/1952,New York City,USA,74.0,"Rick Aviles was born on October 14, 1952 in New York City, New York, USA as Richard Anthony Aviles. He was an actor, known for Waterworld (1995), The Cannonball Run (1981) and Carlito's Way (1993). He died on March 17, 1995 in Los Angeles, California, USA.",Male,Puerto Rican,
5722,892.0,R.D. Call,0-2-16,Ogden,USA,,"R. D. Call is an American actor, best known for his roles in films by Walter Hill. He was born and raised in Utah and attended the Utah State University and Weber State University. Call moved to Los Angeles in 1976 and began training with Lee Strasberg. His first Role was in Barnaby Jones (1973), a TV series directed by Leo Penn. Call then took ...",Male,White,
5723,893.0,Zitto Kazann,9/1/1944,Buenos Aires,Argentina,,"Zitto Kazann was born in Buenos Aires, Argentina, where he studied at the Otto Krause University. From adolescence on he played professional basketball in the national league while at the same time performing in theatrical productions in Buenos Aires. The theater soon became his paramount muse and he relocated to New York to pursue his promise. After...",Male,Argentine,
5724,894.0,Leonardo Cimino,11/4/1917,Manhattan,USA,,"Veteran little old man Italian character actor Leonardo Anthony Cimino steadily worked in both movies and TV shows alike from the late 1950's up until 2007. Cimino was born on November 4, 1917 in New York City. He was the son of tailor Andrea Cimino and his wife Leonilda. Leonardo played violin as a child and studied at Juilliard as a teenager. ...",Male,White,
5725,895.0,Zakes Mokae,8/5/1934,Johannesburg,Union of South Africa,,"Born in Johannesburg, South Africa, actor Zakes Mokae was trained at the Royal Academy of Dramatic Art and became one of the most distinguished thespians in South Africa for over two decades. Mokae was one of the few actors capable of crossing the divided racial sections, punctuated by his collaborations with white writer Athol Fugard. Together ...",Male,South African,
5726,896.0,Luke Ka'ili Jr.,,,,,"Luke Ka'ili Jr. is an actor, known for Waterworld (1995).",Male,,
5727,897.0,Anthony DeMasters,,,,,"Anthony DeMasters is an actor, known for Waterworld (1995).",Male,,
5728,898.0,Roger Jackson,7/13/1958,Atlanta,USA,67.0,"Roger is a theater-trained actor who specializes in characters, vocal sound effects, dialects, and impressions. He is best known for his work as Ghostface in Wes Craven's Scream films, Mojo Jojo in The Powerpuff Girls, and the original Mr. Mucus for Mucinex. Roger has voiced roles in many films, television shows, and video games, such as Groucho ...",Male,White,
5729,899.0,Kevin Patrick Walls,,,,,"Kevin Patrick Walls is an actor, known for Blade (1998), Scream (1996) and Soulkeeper (2001).",Male,White,
5730,900.0,David Booth,,,,,"David Booth is known for his work on Scream (1996), The Chronicle (2001) and Shattered (1991).",Male,White,
5731,901.0,Carla Hatley,,,,,"Carla Hatley is an actress, known for Scream (1996).",Female,White,
5732,902.0,Neve Campbell,10/3/1973,Guelph,Canada,65.0,"Neve Campbell was born and raised in Guelph, Ontario, to Marnie (Neve), a Dutch-born psychologist and yoga instructor (from Amsterdam), and Gerry Campbell, a Scottish-born teacher (from Glasgow). Campbell first came to our TV screens in the hit Drama series Party of Five (1994). Described as TV's most believable teenager, her first major film role...",Female,White,
5733,903.0,Skeet Ulrich,1/20/1970,Lynchburg,USA,72.0,"Skeet Ulrich was born on January 20, 1970 in Lynchburg, Virginia, USA as Bryan Ray Trout. He is an actor, known for Scream (1996), The Craft (1996) and Into the West (2005). He was previously married to Amelia Jackson-Gray and Georgina Cates.",Male,White,
5734,904.0,Lawrence Hecht,,,,,"Lawrence Hecht is an actor, known for Scream 3 (2000), Scream (1996) and A Christmas Carol (1981).",Male,White,
5735,905.0,Bette Midler,12/1/1945,Honolulu,USA,61.0,"Multi Grammy Award-winning singer/comedienne/author Bette Midler has also proven herself to be a very capable actress in a string of both dramatic and comedic roles. Midler was born in Honolulu, Hawaii, on December 1, 1945. She is the daughter of Ruth (Schindel), a seamstress, and Fred Midler, a painter. Her parents, originally from New Jersey, ...",Female,White,
5736,906.0,Sarah Jessica Parker,3/25/1965,Nelsonville,USA,63.0,"Sarah Jessica Parker was born March 25, 1965, in Nelsonville, Ohio, to Barbra Forste (n�e Keck), a teacher who ran a nursery school, and Stephen Parker, a journalist. Her parents divorced, and her mother later remarried to Paul Forste and had four more children, bringing the total to eight. Sarah now had 3 full siblings and 4 half siblings. Her ...",Female,White,
5737,907.0,Stockard Channing,2/13/1944,New York City,USA,63.0,"One of Broadway and Hollywood's cleverer talents who tends to shine a smart, cynical light on her surroundings, Stockard Channing was born Susan Williams Antonia Stockard on February 13, 1944, in New York City, to a Catholic family, with English and Irish ancestry. The daughter of Lester Napier Stockard, a well-to-do shipping executive, and Mary ...",Female,White,
5738,908.0,Stephen Collins,10/1/1947,Des Moines,USA,72.0,"Stephen Collins was born on October 1, 1947 in Des Moines, Iowa, USA as Stephen Weaver Collins. He is an actor, known for 7th Heaven (1996), Star Trek: The Motion Picture (1979) and The First Wives Club (1996). He was previously married to Faye Grant and Marjorie Weinman.",Male,White,
5739,909.0,Juliette Binoche,3/9/1964,Paris,France,66.0,"Juliette Binoche was born in Paris, France, to Monique Yvette Stalens, a director, teacher, and actress, and Jean-Marie Binoche, a sculptor, director, and actor. Her mother was born in Czestochowa, Poland, of French, Walloon Belgian, and Polish descent, while her father is French. Juliette was only 23 when she first attracted the attention of ...",Female,White,
5740,910.0,Kristin Scott Thomas,5/24/1960,Redruth,UK,66.0,"The acclaimed Cornish actress Dame Kristin Scott Thomas was born in Redruth, Cornwall, to Deborah (Hurlbatt) and Lieutenant Commander Simon Scott Thomas. Her father was a pilot for the British Royal Navy and died in a flying accident in 1964. Her stepfather, Lt. Cdr Simon Idiens, was also a pilot, and died six years later under similar ...",Female,White,
5741,911.0,Naveen Andrews,1/17/1969,London,UK,69.0,"Born Naveen William Sidney Andrews in London on January 17, 1969. His parents were both Indian immigrants from Kerala, India. In high school, he auditioned for drama school and was accepted at London's Guildhall School of Music and Drama. Two of his classmates were Ewan McGregor and David Thewlis . His studies paid off when he won a role in Hanif ...",Male,White,
5742,912.0,Colin Firth,9/10/1960,Grayshott,UK,73.0,"Colin Andrew Firth was born into an academic family in Grayshott, Hampshire, England. His mother, Shirley Jean (Rolles), was a comparative religion lecturer at the Open University, and his father, David Norman Lewis Firth, lectured on history at Winchester University College (formerly King Alfred's College) in Winchester, and worked on education ...",Male,White,
5743,913.0,Julian Wadham,8/7/1958,Ware,UK,61.0,"Julian Wadham was born on August 7, 1958 in Ware, Hertfordshire, England as Julian Neil Rohan Wadham. He is an actor, known for The English Patient (1996), The Madness of King George (1994) and Goya's Ghosts (2006). He was previously married to Shirley Cassedy.",Male,White,
5744,914.0,Jrgen Prochnow,6/10/1941,Berlin,Germany,61.0,"Born in Berlin, Germany, in 1941, J�rgen Prochnow is a leading actor of the German stage and screen. He was memorable as the submarine captain in the gritty WW II film Das Boot (1981), which brought him to international prominence. He has since starred in many well-received European and Hollywood productions.",Male,White,
5745,915.0,Kevin Whately,2/6/1951,Newcastle-upon-Tyne,UK,61.0,"Kevin Whately was born on February 6, 1951 in Newcastle-upon-Tyne, England as Kevin George Edward Whately. He is an actor, known for Inspector Morse (1987), Inspector Lewis (2006) and Auf Wiedersehen, Pet (1983). He has been married to Madelaine Newton since April 1984. They have two children.",Male,White,
5746,916.0,Nathan Lane,2/3/1956,Jersey City,USA,66.0,"Nathan Lane was born on February 3, 1956 in Jersey City, New Jersey, USA as Joseph Lane. He is an actor, known for The Producers (2005), The Birdcage (1996) and The Lion King (1994). He has been married to Devlin Elliott since November 17, 2015.",Male,White,
5747,917.0,Dan Futterman,6/8/1967,Silver Spring,USA,69.0,"Dan Futterman was born on June 8, 1967 in Silver Spring, Maryland, USA as Daniel Paul Futterman. He is an actor and producer, known for Capote (2005), A Mighty Heart (2007) and The Birdcage (1996). He has been married to Anya Epstein since September 23, 2000. They have two children.",Male,White,
5748,918.0,Calista Flockhart,11/11/1964,Freeport,USA,65.0,"Calista Kay Flockhart was born 11 November, 1964 in Freeport, Illinois. Her mother, Kay (Honohan), was a school teacher, and her father, Ronald Flockhart, worked for Kraft Foods Inc. She has Irish, Scottish, German, and English ancestry. Calista was named after two of her great-grandmothers, who both had the middle name ""Calista"". Flockhart ...",Female,White,
5749,919.0,Hank Azaria,4/25/1964,Queens,USA,61.0,"Hank Azaria was born on April 25, 1964 in Queens, New York City, New York, USA as Henry Albert Azaria. He is an actor, known for The Simpsons (1989), Free Agents (2011) and The Birdcage (1996). He was previously married to Helen Hunt.",Male,White,
5750,920.0,Christine Baranski,5/2/1952,Buffalo,USA,68.0,"Christine Baranski was born on May 2, 1952 in Buffalo, New York, USA as Christine Jane Baranski. She is an actress, known for Chicago (2002), Mamma Mia! (2008) and Into the Woods (2014). She was previously married to Matthew Cowles.",Female,White,
5751,921.0,Tom McGowan,7/26/1959,Belmar,USA,,"Tom McGowan was born on July 26, 1959 in Belmar, New Jersey, USA. He is an actor and producer, known for Ghost World (2001), Sleepless in Seattle (1993) and After the Sunset (2004). He has been married to Cathy Cummings since 1991. They have two children.",Male,White,
5752,922.0,Kyra Sedgwick,8/19/1965,New York City,USA,65.0,"Kyra Minturn Sedgwick was born on August 19, 1965 in New York City, to Patricia (Rosenwald), a family and speech therapist, and Henry Dwight Sedgwick V, a venture capitalist. Her mother was from an upper-class German Jewish family, and her father was from a wealthy Massachusetts clan of English descent, with many prominent ancestors (including ...",Female,White,
5753,923.0,Jeffrey DeMunn,4/25/1947,Buffalo,USA,69.0,"Jeffrey DeMunn was born on April 25, 1947 in Buffalo, New York. He studied in England at the Bristol Old Vic Theatre School, then returned to America and was a member of the National Shakespeare Company. He has starred in many theatre productions, both on and off Broadway, including ""K2"" (for which he received a Tony Award nomination for Best ...",Male,White,
5754,924.0,Richard Kiley,3/31/1922,Chicago,USA,61.0,"Although Richard Kiley's rich baritone and strong vocal talent was much in evidence and received due respect with his award of a Tony for ""Man of La Mancha"", it was little used in his television and movie appearances. Won two Tony Awards as Best Actor (Musical): in 1959 for ""Redhead"" and in 1966 for his signature role, ""Man of La Mancha"". He was ...",Male,White,
5755,925.0,David Gallagher,2/9/1985,College Point,USA,61.0,"David Lee Gallagher was born on February 9, 1985 in College Point, New York, to Elena (Lopez) and Darren James Gallagher. His stepfather is Vincent Casey. David is of Irish (father) and Cuban (mother) descent. At not even two years old, he landed his first print ad job and he has since done commercials for corporations such as Walt Disney World, ...",Male,White,
5756,926.0,Ashley Buccille,1/30/1986,Orange County,USA,,"Ashley Buccille was born on January 30, 1986 in Orange County, California, USA as Ashley Elizabeth Buccille. She is an actress, known for Phenomenon (1996), Dusting Cliff 7 (1997) and Baywatch Nights (1995).",Female,White,
5757,927.0,Tony Genaro,10/15/1941,Gallup,USA,68.0,"Character actor Anthony Genaro Acosta was born on October 15, 1941 in Gallup, New Mexico. The oldest sibling in a family of four boys and one girl, Genaro attended San Diego State University and worked as a licensed psychiatric technician at Patton State Hospital in Patton, California for several years prior to embarking on an acting career in the...",Male,White,
